Last Name/Surname	Total1	Asian and Pacific Islander2	Percentage3	Rank4	U.S. Rank5
NGUYEN	437,645	422,109	96.45%	1	38
LEE	693,023	292,594	42.22%	2	21
KIM	262,352	247,844	94.47%	3	77
PATEL	229,973	217,968	94.78%	4	95
TRAN	188,498	180,958	96.00%	5	132
CHEN	169,580	163,000	96.12%	6	150
LI	111,786	108,186	96.78%	7	273
LE	110,967	106,073	95.59%	8	277
WANG	109,883	104,653	95.24%	9	282
YANG	106,033	102,651	96.81%	10	290
SINGH	116,749	96,633	82.77%	11	260
WONG	111,371	96,325	86.49%	12	274
PHAM	84,320	81,225	96.33%	13	370
PARK	106,696	77,867	72.98%	14	289
LIN	79,508	76,208	95.85%	15	402
LIU	78,370	74,937	95.62%	16	411
CHANG	81,939	72,795	88.84%	17	391
HUANG	72,328	70,259	97.14%	18	456
WU	71,721	69,118	96.37%	19	461
ZHANG	70,125	68,765	98.06%	20	472
CHAN	76,664	68,476	89.32%	21	425
KHAN	76,171	61,889	81.25%	22	427
SHAH	58,287	53,472	91.74%	23	573
HUYNH	54,996	53,170	96.68%	24	620
YU	52,035	50,006	96.10%	25	658
LAM	55,554	48,882	87.99%	26	611
CHOI	50,786	48,800	96.09%	27	674
KAUR	48,753	46,847	96.09%	28	711
VANG	48,036	46,451	96.70%	29	726
HO	49,817	46,360	93.06%	30	691
CHUNG	43,110	38,803	90.01%	31	805
TRUONG	38,267	37,069	96.87%	32	903
XIONG	37,499	36,775	98.07%	33	929
PHAN	37,836	36,258	95.83%	34	918
VU	36,179	34,953	96.61%	35	962
VO	36,236	34,812	96.07%	36	960
LIM	37,021	34,148	92.24%	37	936
LU	35,628	34,110	95.74%	38	978
TANG	34,961	32,622	93.31%	39	999
CHO	33,490	31,856	95.12%	40	1,038
NGO	33,005	31,837	96.46%	41	1,062
CHENG	32,982	31,211	94.63%	42	1,063
KANG	32,221	30,243	93.86%	43	1,084
TAN	32,120	29,669	92.37%	44	1,090
NG	31,210	29,088	93.20%	45	1,125
DANG	30,389	28,870	95.00%	46	1,155
DO	30,301	28,719	94.78%	47	1,159
HOANG	29,798	28,621	96.05%	48	1,185
LY	29,891	28,274	94.59%	49	1,176
HONG	31,670	27,908	88.12%	50	1,106
HAN	29,847	27,659	92.67%	51	1,182
BUI	28,919	27,603	95.45%	52	1,222
AHMED	48,319	27,320	56.54%	53	720
MA	28,452	26,605	93.51%	54	1,240
CHU	28,508	26,267	92.14%	55	1,238
SHARMA	28,559	25,886	90.64%	56	1,236
ALI	60,002	25,747	42.91%	57	559
XU	25,622	25,174	98.25%	58	1,381
ZHENG	25,242	24,742	98.02%	59	1,409
DUONG	24,870	24,047	96.69%	60	1,431
SONG	25,110	23,892	95.15%	61	1,415
LIANG	24,140	23,348	96.72%	62	1,480
ZHOU	23,437	23,015	98.20%	63	1,532
KUMAR	25,986	22,935	88.26%	64	1,357
SUN	24,058	22,725	94.46%	65	1,484
LAU	29,792	22,663	76.07%	66	1,187
THAO	23,404	22,657	96.81%	67	1,536
ZHAO	22,301	21,880	98.11%	68	1,613
CHIN	27,487	20,912	76.08%	69	1,279
ZHU	21,265	20,889	98.23%	70	1,694
SHIN	21,735	20,644	94.98%	71	1,656
LEUNG	20,496	19,336	94.34%	72	1,747
JIANG	19,409	18,998	97.88%	73	1,849
HU	19,999	18,985	94.93%	74	1,797
THOMAS	756,142	18,450	2.44%	75	16
REYES	327,904	18,297	5.58%	76	60
SANTOS	137,232	18,279	13.32%	77	206
GUPTA	19,057	17,872	93.78%	78	1,886
CHEUNG	18,765	17,851	95.13%	79	1,920
LAI	19,157	17,571	91.72%	80	1,873
DESAI	18,638	17,473	93.75%	81	1,938
OH	18,285	17,459	95.48%	82	1,978
CRUZ	334,201	17,345	5.19%	83	57
CAO	18,138	17,271	95.22%	84	1,989
YEE	20,591	17,202	83.54%	85	1,740
HWANG	17,900	17,191	96.04%	86	2,017
YI	17,934	16,939	94.45%	87	2,011
HA	18,156	16,872	92.93%	88	1,987
DINH	17,081	16,483	96.50%	89	2,119
GARCIA	1,166,120	16,442	1.41%	90	6
JUNG	24,026	16,280	67.76%	91	1,486
LO	17,687	16,060	90.80%	92	2,036
HSU	16,907	15,855	93.78%	93	2,147
CHAU	16,667	15,740	94.44%	94	2,181
YOON	15,936	15,281	95.89%	95	2,287
LUU	15,702	15,149	96.48%	96	2,324
MAI	17,445	14,910	85.47%	97	2,075
CHOW	17,059	14,848	87.04%	98	2,122
TRINH	15,392	14,766	95.93%	99	2,368
HE	15,363	14,736	95.92%	100	2,373
YOUNG	484,447	14,679	3.03%	101	32
FONG	17,889	14,510	81.11%	102	2,018
RAHMAN	18,097	14,374	79.43%	103	1,994
HER	15,089	14,307	94.82%	104	2,404
LUONG	14,464	13,977	96.63%	105	2,499
MOUA	14,013	13,539	96.62%	106	2,579
MEHTA	14,342	13,324	92.90%	107	2,526
DOAN	19,760	13,103	66.31%	108	1,814
HUSSAIN	16,909	13,006	76.92%	109	2,146
RAMOS	263,464	12,883	4.89%	110	76
KWON	13,235	12,745	96.30%	111	2,721
YOO	13,225	12,629	95.49%	112	2,724
KO	13,312	12,464	93.63%	113	2,708
KONG	14,165	12,452	87.91%	114	2,551
SMITH	2,442,977	12,215	0.50%	115	1
CHIU	13,174	12,135	92.11%	116	2,735
SU	12,973	12,112	93.36%	117	2,779
DELACRUZ	72,109	12,093	16.77%	118	458
SHEN	12,839	12,039	93.77%	119	2,806
TAM	13,327	12,016	90.16%	120	2,703
CHONG	15,146	11,949	78.89%	121	2,392
MENDOZA	242,771	11,920	4.91%	122	88
PAN	12,664	11,907	94.02%	123	2,847
GAO	12,172	11,854	97.39%	124	2,948
BEGUM	12,255	11,838	96.60%	125	2,924
GUO	12,048	11,779	97.77%	126	2,975
DONG	12,466	11,694	93.81%	127	2,879
VUE	11,717	11,463	97.83%	128	3,061
WOO	13,003	11,294	86.86%	129	2,775
CHOWDHURY	11,961	11,192	93.57%	130	2,997
MATHEW	13,808	11,149	80.74%	131	2,612
THAI	11,644	11,133	95.61%	132	3,089
LOR	11,479	11,088	96.59%	133	3,149
BAUTISTA	60,264	10,986	18.23%	134	558
JAIN	11,626	10,853	93.35%	135	3,094
TONG	13,196	10,723	81.26%	136	2,730
YAN	11,354	10,680	94.06%	137	3,182
CHUN	13,141	10,644	81.00%	138	2,740
DAO	11,211	10,580	94.37%	139	3,220
JOHNSON	1,932,812	10,437	0.54%	140	2
TSAI	10,968	10,372	94.57%	141	3,291
FENG	10,687	10,302	96.40%	142	3,351
GILL	74,948	10,066	13.43%	143	435
JIN	10,432	10,046	96.30%	144	3,421
PAK	10,846	9,980	92.02%	145	3,308
MALIK	14,925	9,940	66.60%	146	2,429
AHN	10,567	9,914	93.82%	147	3,379
JOSEPH	100,959	9,854	9.76%	148	313
GEORGE	128,625	9,801	7.62%	149	235
LUO	10,005	9,762	97.57%	150	3,564
SHI	10,055	9,739	96.86%	151	3,551
FERNANDEZ	180,842	9,729	5.38%	152	142
FANG	10,316	9,674	93.78%	153	3,464
AHMAD	16,291	9,577	58.79%	154	2,238
QUACH	9,894	9,550	96.52%	155	3,598
YE	9,839	9,546	97.02%	156	3,609
XIE	9,716	9,540	98.19%	157	3,662
JOSHI	10,089	9,415	93.32%	158	3,542
ISLAM	10,670	9,366	87.78%	159	3,354
CHOU	9,834	9,255	94.11%	160	3,610
RAO	11,672	9,168	78.55%	161	3,075
CHA	9,732	9,101	93.52%	162	3,654
VUONG	9,407	9,090	96.63%	163	3,766
WEI	9,578	9,047	94.46%	164	3,707
FLORES	433,969	9,027	2.08%	165	40
CHAO	10,398	9,015	86.70%	166	3,432
LOPEZ	874,523	8,920	1.02%	167	12
DEGUZMAN	10,341	8,823	85.32%	168	3,454
SYED	9,722	8,721	89.70%	169	3,657
MOON	45,528	8,696	19.10%	170	758
TU	9,230	8,679	94.03%	171	3,835
JANG	9,125	8,569	93.91%	172	3,890
TO	8,934	8,493	95.06%	173	3,979
ONG	9,584	8,375	87.39%	174	3,704
SON	10,094	8,358	82.80%	175	3,541
YUN	8,933	8,348	93.45%	176	3,981
REDDY	12,614	8,340	66.12%	177	2,858
YUAN	8,588	8,281	96.43%	178	4,129
ENG	10,682	8,266	77.38%	179	3,352
GONZALES	214,758	8,161	3.80%	180	111
LIAO	8,482	8,135	95.91%	181	4,177
KWAN	8,965	8,111	90.47%	182	3,966
CAI	8,457	8,104	95.83%	183	4,191
PENG	10,575	8,041	76.04%	184	3,374
ABRAHAM	31,303	8,026	25.64%	185	1,120
FAN	8,441	8,000	94.78%	186	4,197
CHIANG	8,841	7,997	90.45%	187	4,022
RIVERA	391,114	7,979	2.04%	188	46
PEREZ	681,645	7,975	1.17%	189	22
AMIN	11,137	7,899	70.93%	190	3,243
FU	8,370	7,873	94.06%	191	4,235
FUNG	8,837	7,738	87.56%	192	4,024
AQUINO	25,783	7,717	29.93%	193	1,368
SIDDIQUI	8,502	7,691	90.46%	194	4,169
DENG	8,898	7,656	86.04%	195	3,993
VILLANUEVA	61,883	7,605	12.29%	196	539
AN	8,160	7,588	92.99%	197	4,353
TA	8,017	7,559	94.29%	198	4,434
WILLIAMS	1,625,252	7,476	0.46%	199	3
LEONG	9,094	7,453	81.96%	200	3,902
YEUNG	7,782	7,446	95.68%	201	4,556
ZENG	7,605	7,413	97.48%	202	4,662
CHOE	7,776	7,335	94.33%	203	4,560
BROWN	1,437,026	7,329	0.51%	204	4
DELEON	87,414	7,264	8.31%	205	359
VAN	10,798	7,259	67.23%	206	3,320
MEI	7,867	7,216	91.72%	207	4,510
DU	7,566	7,166	94.71%	208	4,690
JOHN	33,543	7,135	21.27%	209	1,034
PARIKH	7,506	7,105	94.66%	210	4,724
LEI	7,504	7,071	94.23%	211	4,726
CASTILLO	230,420	7,005	3.04%	212	93
GUAN	7,247	6,967	96.14%	213	4,867
PHUNG	7,155	6,930	96.86%	214	4,915
SUNG	7,360	6,929	94.14%	215	4,801
SO	7,456	6,904	92.60%	216	4,749
CASTRO	184,134	6,887	3.74%	217	138
KUO	7,426	6,878	92.62%	218	4,767
PRASAD	8,638	6,821	78.97%	219	4,107
SUH	7,089	6,745	95.15%	220	4,961
SEO	7,033	6,728	95.66%	221	4,998
YUEN	7,688	6,698	87.12%	222	4,614
VARGHESE	7,013	6,689	95.38%	223	5,010
HUA	6,939	6,685	96.34%	224	5,052
YAO	7,192	6,682	92.91%	225	4,898
LOUIE	8,485	6,672	78.63%	226	4,175
SANDHU	7,190	6,651	92.50%	227	4,900
PANG	7,642	6,646	86.97%	228	4,645
ALAM	7,932	6,577	82.92%	229	4,476
TSANG	6,860	6,475	94.39%	230	5,103
YEH	6,958	6,457	92.80%	231	5,046
MIN	6,982	6,434	92.15%	232	5,026
GANDHI	6,721	6,383	94.97%	233	5,199
MARTINEZ	1,060,159	6,361	0.60%	234	10
MARTIN	702,625	6,324	0.90%	235	20
NAIR	7,513	6,324	84.17%	236	4,719
JONES	1,425,470	6,272	0.44%	237	5
MILLER	1,161,437	6,272	0.54%	238	7
TORRES	437,813	6,261	1.43%	239	37
HUNG	7,137	6,261	87.73%	240	4,932
HERNANDEZ	1,043,281	6,260	0.60%	241	11
RODRIGUEZ	1,094,924	6,241	0.57%	242	9
DAS	7,289	6,240	85.61%	243	4,837
PERSAUD	11,956	6,197	51.83%	244	3,000
TANAKA	7,994	6,160	77.06%	245	4,439
YIN	6,548	6,153	93.97%	246	5,324
SAECHAO	6,419	6,125	95.42%	247	5,425
CHI	7,273	6,117	84.11%	248	4,843
DAVID	44,040	6,100	13.85%	249	782
DOMINGO	11,012	6,098	55.38%	250	3,283
QURESHI	6,966	6,063	87.04%	251	5,035
NAKAMURA	7,658	6,040	78.87%	252	4,633
YAMAMOTO	7,547	6,024	79.82%	253	4,702
XIAO	6,123	5,995	97.91%	254	5,669
HSIEH	6,382	5,982	93.73%	255	5,453
MOY	8,781	5,962	67.90%	256	4,046
RANA	7,145	5,946	83.22%	257	4,923
HANG	6,863	5,946	86.64%	258	5,101
AU	7,148	5,938	83.07%	259	4,919
DIEP	6,168	5,931	96.16%	260	5,636
LA	6,655	5,917	88.91%	261	5,242
BAE	6,203	5,888	94.92%	262	5,606
SANCHEZ	612,752	5,882	0.96%	263	26
TSE	6,227	5,823	93.51%	264	5,582
NAM	6,244	5,799	92.87%	265	5,569
YIP	6,208	5,789	93.25%	266	5,602
KING	465,422	5,725	1.23%	267	34
LONG	229,374	5,688	2.48%	268	97
KAO	6,018	5,602	93.09%	269	5,758
WEN	5,870	5,579	95.04%	270	5,878
