Last Name/Surname	Total1	White2	Percentage3	Rank4	U.S. Rank5
SMITH	2,442,977	1,732,071	70.90%	1	1
JOHNSON	1,932,812	1,139,779	58.97%	2	2
MILLER	1,161,437	976,885	84.11%	3	7
BROWN	1,437,026	832,757	57.95%	4	4
JONES	1,425,470	786,717	55.19%	5	5
WILLIAMS	1,625,252	743,553	45.75%	6	3
DAVIS	1,116,357	694,374	62.20%	7	8
ANDERSON	784,404	589,636	75.17%	8	15
WILSON	801,882	540,148	67.36%	9	14
MARTIN	702,625	525,564	74.80%	10	20
TAYLOR	751,209	491,140	65.38%	11	17
MOORE	724,374	481,057	66.41%	12	18
THOMPSON	664,644	463,789	69.78%	13	23
WHITE	660,491	432,688	65.51%	14	24
CLARK	562,679	420,040	74.65%	15	27
THOMAS	756,142	397,958	52.63%	16	16
BAKER	419,586	334,956	79.83%	17	44
NELSON	424,958	330,022	77.66%	18	43
KING	465,422	326,540	70.16%	19	34
ALLEN	482,607	326,194	67.59%	20	33
YOUNG	484,447	320,995	66.26%	21	32
HARRIS	624,252	320,866	51.40%	22	25
ADAMS	427,865	316,706	74.02%	23	42
LEWIS	531,781	309,656	58.23%	24	29
WALKER	523,129	306,867	58.66%	25	31
WRIGHT	458,980	302,009	65.80%	26	35
HALL	407,076	295,741	72.65%	27	45
ROBERTS	376,774	291,133	77.27%	28	50
CAMPBELL	386,157	284,443	73.66%	29	47
JACKSON	708,099	282,461	39.89%	30	19
HILL	434,827	279,855	64.36%	31	39
PHILLIPS	360,802	276,699	76.69%	32	52
SCOTT	439,530	264,641	60.21%	33	36
ROBINSON	529,821	258,023	48.70%	34	30
MURPHY	308,417	256,325	83.11%	35	64
LEE	693,023	249,142	35.95%	36	21
COOK	302,589	247,518	81.80%	37	65
GREEN	430,182	244,515	56.84%	38	41
EVANS	355,593	243,190	68.39%	39	53
COLLINS	329,770	236,148	71.61%	40	59
PETERSON	278,297	234,855	84.39%	41	71
MORRIS	318,884	234,667	73.59%	42	62
MITCHELL	384,486	234,613	61.02%	43	48
PARKER	336,221	232,564	69.17%	44	56
ROGERS	302,261	227,905	75.40%	45	66
STEWART	324,957	224,773	69.17%	46	61
TURNER	348,627	223,993	64.25%	47	54
WOOD	250,715	222,434	88.72%	48	84
CARTER	376,966	219,394	58.20%	49	49
MORGAN	286,280	217,773	76.07%	50	69
COX	261,231	215,829	82.62%	51	78
KELLY	267,394	208,808	78.09%	52	74
EDWARDS	332,423	206,534	62.13%	53	58
BAILEY	277,845	201,299	72.45%	54	72
REED	277,030	197,495	71.29%	55	73
WARD	260,464	196,859	75.58%	56	79
MYERS	229,895	194,261	84.50%	57	96
SULLIVAN	220,990	193,875	87.73%	58	105
COOPER	280,791	190,741	67.93%	59	70
BENNETT	247,599	189,562	76.56%	60	86
HUGHES	236,271	185,213	78.39%	61	90
LONG	229,374	183,224	79.88%	62	97
FISHER	214,703	177,302	82.58%	63	112
PRICE	235,251	173,921	73.93%	64	91
RUSSELL	221,558	170,710	77.05%	65	104
HOWARD	264,826	170,310	64.31%	66	75
GRAY	246,116	169,032	68.68%	67	87
WATSON	252,579	166,778	66.03%	68	81
REYNOLDS	200,247	162,360	81.08%	69	121
FOSTER	227,764	158,638	69.65%	70	99
ROSS	229,368	158,172	68.96%	71	98
OLSON	164,035	155,440	94.76%	72	157
RICHARDSON	259,798	155,099	59.70%	73	80
BROOKS	251,663	151,551	60.22%	74	82
PERRY	221,741	151,493	68.32%	75	103
STEVENS	185,674	151,213	81.44%	76	135
POWELL	224,874	151,115	67.20%	77	101
SNYDER	160,262	150,758	94.07%	78	165
WEST	195,818	147,803	75.48%	79	125
COLE	195,289	147,111	75.33%	80	126
WAGNER	155,795	144,064	92.47%	81	173
MEYER	150,895	143,109	94.84%	82	183
KENNEDY	176,865	142,942	80.82%	83	146
HAMILTON	201,746	141,646	70.21%	84	119
BARNES	218,241	141,442	64.81%	85	110
GRAHAM	201,159	140,852	70.02%	86	120
SANDERS	230,374	140,021	60.78%	87	94
SCHMIDT	147,034	139,903	95.15%	88	185
MURRAY	184,910	138,535	74.92%	89	136
MCDONALD	180,497	138,351	76.65%	90	143
PATTERSON	205,423	138,188	67.27%	91	117
GIBSON	190,667	137,547	72.14%	92	130
WALLACE	197,276	136,594	69.24%	93	123
BUTLER	218,847	136,473	62.36%	94	108
BELL	220,599	134,808	61.11%	95	106
HAYES	194,246	134,768	69.38%	96	127
FOX	152,334	134,176	88.08%	97	180
BURNS	165,925	133,171	80.26%	98	155
ELLIS	188,968	132,958	70.36%	99	131
STONE	153,329	131,786	85.95%	100	178
RYAN	143,452	131,474	91.65%	101	193
WELLS	176,230	130,410	74.00%	102	147
HENDERSON	218,393	130,228	59.63%	103	109
HANSEN	137,977	130,002	94.22%	104	204
JAMES	249,379	128,630	51.58%	105	85
JENKINS	222,653	128,604	57.76%	106	102
JORDAN	208,403	128,043	61.44%	107	116
WEBB	168,878	127,554	75.53%	108	152
GRIFFIN	198,406	126,524	63.77%	109	122
ROSE	153,397	125,908	82.08%	110	177
HARRISON	181,091	124,337	68.66%	111	141
HOFFMAN	131,401	123,622	94.08%	112	224
SIMMONS	210,182	121,716	57.91%	113	114
MARSHALL	183,922	121,444	66.03%	114	139
WEAVER	143,837	121,413	84.41%	115	192
JOHNSTON	131,373	120,364	91.62%	116	225
OWENS	182,719	120,320	65.85%	117	140
NICHOLS	145,584	119,990	82.42%	118	189
ALEXANDER	204,621	119,069	58.19%	119	118
KELLEY	140,693	117,873	83.78%	120	198
MILLS	151,942	117,755	77.50%	121	182
PALMER	156,601	117,576	75.08%	122	172
TUCKER	167,446	117,229	70.01%	123	153
HUNT	158,421	116,550	73.57%	124	169
LARSON	122,587	116,200	94.79%	125	247
RICE	149,500	116,057	77.63%	126	184
SHAW	160,400	115,600	72.07%	127	164
SIMPSON	163,181	115,500	70.78%	128	158
BLACK	154,738	115,481	74.63%	129	174
FORD	184,832	114,688	62.05%	130	137
CARLSON	120,552	114,319	94.83%	131	252
PETERS	137,513	113,943	82.86%	132	205
DUNN	141,427	113,255	80.08%	133	197
ARNOLD	138,893	112,878	81.27%	134	201
ROBERTSON	153,666	112,822	73.42%	135	175
CRAWFORD	164,457	112,752	68.56%	136	156
BRYANT	192,773	112,695	58.46%	137	128
PIERCE	138,629	112,262	80.98%	138	202
CARPENTER	129,898	111,985	86.21%	139	231
PORTER	163,054	111,806	68.57%	140	159
CARROLL	134,317	111,416	82.95%	141	215
OBRIEN	118,557	111,266	93.85%	142	258
ELLIOTT	135,765	110,811	81.62%	143	210
FREEMAN	169,149	110,793	65.50%	144	151
HART	137,184	110,488	80.54%	145	207
MASON	160,213	110,259	68.82%	146	166
FERGUSON	146,426	109,571	74.83%	147	188
JENSEN	115,679	108,704	93.97%	148	265
COLEMAN	219,070	108,286	49.43%	149	107
GARDNER	142,894	107,185	75.01%	150	194
STEPHENS	144,646	106,893	73.90%	151	190
HICKS	158,320	106,660	67.37%	152	170
WARREN	152,147	106,625	70.08%	153	181
BURKE	122,877	105,588	85.93%	154	246
HENRY	170,964	105,023	61.43%	155	149
GORDON	161,833	103,978	64.25%	156	161
LANE	134,227	103,543	77.14%	157	216
WOODS	177,425	103,439	58.30%	158	144
DUNCAN	135,187	103,269	76.39%	159	212
WEBER	109,433	103,184	94.29%	160	283
RICHARDS	130,529	102,687	78.67%	161	228
HANSON	111,144	102,375	92.11%	162	276
PAYNE	142,601	102,031	71.55%	163	195
CHAPMAN	127,939	101,724	79.51%	164	236
WHEELER	125,058	101,247	80.96%	165	243
RAY	133,171	99,838	74.97%	166	220
SCHULTZ	104,888	99,444	94.81%	167	297
CUNNINGHAM	135,718	99,291	73.16%	168	211
WALSH	105,079	99,279	94.48%	169	295
KNIGHT	136,713	98,857	72.31%	170	209
HUNTER	162,440	98,731	60.78%	171	160
BISHOP	116,618	98,472	84.44%	172	262
ARMSTRONG	135,044	97,758	72.39%	173	213
RILEY	133,872	97,445	72.79%	174	217
SPENCER	139,951	97,140	69.41%	175	199
BOYD	153,469	96,962	63.18%	176	176
LYNCH	117,708	96,874	82.30%	177	259
SCHNEIDER	101,290	96,580	95.35%	178	312
ANDREWS	133,799	96,041	71.78%	179	218
MORRISON	121,130	95,826	79.11%	180	250
BRADLEY	136,720	94,501	69.12%	181	208
BERRY	132,812	93,845	70.66%	182	222
PERKINS	131,440	91,285	69.45%	183	223
WELCH	108,987	90,971	83.47%	184	284
HUDSON	134,963	90,263	66.88%	185	214
KELLER	98,268	89,817	91.40%	186	317
GILBERT	114,940	89,423	77.80%	187	268
LAWRENCE	129,699	89,324	68.87%	188	232
HOWELL	112,041	89,050	79.48%	189	272
HOLMES	156,780	89,035	56.79%	190	171
WILLIAMSON	114,959	88,714	77.17%	191	267
JACOBS	118,614	88,106	74.28%	192	257
LAWSON	119,053	87,909	73.84%	193	256
DAVIDSON	103,930	87,696	84.38%	194	301
CARR	119,076	87,652	73.61%	195	255
DEAN	114,030	87,358	76.61%	196	269
DAY	105,091	87,310	83.08%	197	294
DIXON	159,480	86,518	54.25%	198	167
SCHWARTZ	90,071	86,405	95.93%	199	345
MAY	103,306	86,312	83.55%	200	304
GEORGE	128,625	85,497	66.47%	201	235
GREENE	126,101	85,370	67.70%	202	241
HAWKINS	139,751	85,360	61.08%	203	200
FOWLER	104,515	85,086	81.41%	204	299
BOWMAN	105,007	84,867	80.82%	205	296
BECK	93,786	84,661	90.27%	206	328
NEWMAN	101,931	84,633	83.03%	207	307
HARPER	124,461	84,509	67.90%	208	245
BREWER	103,318	83,998	81.30%	209	303
BECKER	87,859	83,369	94.89%	210	357
MATTHEWS	131,303	83,207	63.37%	211	226
POWERS	91,970	82,405	89.60%	212	336
WILLIS	130,152	80,981	62.22%	213	230
BARRETT	100,104	80,784	80.70%	214	314
AUSTIN	119,706	80,766	67.47%	215	253
FULLER	110,116	80,627	73.22%	216	281
DANIELS	146,570	80,130	54.67%	217	187
CURTIS	101,801	79,303	77.90%	218	309
COHEN	89,091	79,193	88.89%	219	351
WATKINS	127,083	78,830	62.03%	220	240
GRANT	142,277	78,765	55.36%	221	196
HOLLAND	102,538	78,718	76.77%	222	305
MONTGOMERY	115,953	78,686	67.86%	223	263
HARVEY	115,662	78,650	68.00%	224	266
LAMBERT	93,678	78,371	83.66%	225	329
ZIMMERMAN	83,265	78,136	93.84%	226	379
ERICKSON	82,085	78,022	95.05%	227	389
KLEIN	81,471	77,731	95.41%	228	392
GARRETT	110,697	77,444	69.96%	229	279
MCCARTHY	82,950	76,555	92.29%	230	384
STANLEY	96,867	76,322	78.79%	231	321
WOLFE	83,928	76,181	90.77%	232	374
BARKER	87,162	75,378	86.48%	233	360
LUCAS	107,690	74,414	69.10%	234	286
BURTON	110,529	74,408	67.32%	235	280
OLIVER	115,900	74,396	64.19%	236	264
LITTLE	105,936	74,272	70.11%	237	291
WALTERS	89,376	74,111	82.92%	238	350
MCCOY	110,744	74,066	66.88%	239	278
LEONARD	91,475	73,528	80.38%	240	338
PEARSON	101,836	73,464	72.14%	241	308
BARNETT	95,681	73,139	76.44%	242	324
CRAIG	92,507	73,108	79.03%	243	332
OCONNOR	77,923	72,320	92.81%	244	417
BATES	95,622	72,051	75.35%	245	325
GREGORY	91,384	71,864	78.64%	246	339
NORRIS	89,796	71,729	79.88%	247	346
HALE	86,618	71,226	82.23%	248	362
HOPKINS	96,810	71,213	73.56%	249	322
CHRISTENSEN	75,143	70,950	94.42%	250	433
WARNER	83,781	70,560	84.22%	251	375
SWANSON	76,897	69,523	90.41%	252	424
HOLT	87,531	69,482	79.38%	253	358
STEELE	88,230	69,040	78.25%	254	355
ROBBINS	78,381	68,638	87.57%	255	410
FISCHER	72,357	68,262	94.34%	256	455
RHODES	90,670	67,785	74.76%	257	343
MCDANIEL	88,728	67,593	76.18%	258	352
LOWE	92,260	67,387	73.04%	259	334
MANN	83,510	67,134	80.39%	260	378
BENSON	86,081	67,014	77.85%	261	365
HIGGINS	79,803	66,963	83.91%	262	400
REID	111,360	66,627	59.83%	263	275
SHELTON	90,517	66,521	73.49%	264	344
QUINN	76,986	66,385	86.23%	265	422
DOYLE	74,458	66,357	89.12%	266	441
SUTTON	90,964	66,195	72.77%	267	341
GALLAGHER	69,834	66,077	94.62%	268	479
SHARP	78,990	66,012	83.57%	269	405
MCLAUGHLIN	74,816	65,831	87.99%	270	437
GRIFFITH	78,260	65,684	83.93%	271	414
WOLF	70,031	65,598	93.67%	272	474
FRANKLIN	120,621	65,594	54.38%	273	251
FITZGERALD	75,356	65,047	86.32%	274	430
